Time,UTC_Time,Date,UTC_Date,Pitcher,Pitcher_ID,Pitcher_Hand,Pitcher_Team,Pitch_Set,Pitch_Type,Pitch_Velocity,Pitch_Release_Vertical,Pitch_Release_Horizontal,Spin_Rate,Pitch_Spin_Direction,Pitch_Tilt,Release_Height,Release_Side,Extension,Break_Vertical,Break_Induced_Vertical,Break_Horizontal,Strike_Zone_Height,Strike_Zone_Side,Plate_Speed,Approach_Angle_Vertical,Approach_Angle_Horizontal,Pitch_Time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,GUID,px,pz,Pitch_Strike_Zone_Front,Strike_Zone_Top,Strike_Zone_Bottom,Pitch_Spin_Tilt_Hours,Pitch_Spin_Tilt_Minutes,Pitch_Poly_X,Pitch_Poly_Y,Pitch_Poly_Z,Strike_Zone_Position,Pitch_Count,Plate_Appearance,Pitcher_External_ID,Pitcher_League_ID
17:54:34,23:54:34,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,FF,82.4,0.18,-1.33,1886,213.43,1:00,5.67,8.44,7.6,-23.79,13.59,8.97,46.15,-3.04,75.24,-4.38,0.37,0.45,-5.36,8.63,-0.64,50,5.67,1.74,-81.9,-0.12,-7.79,24.15,-19.63,657E8BB7-9A8C-4A9E-A5EE-B6C74C8DE508,-3.05,46.14,-3.04; 17.00; 46.15,-,-,1,0,-0.70; 2.79; -4.26; 0.83; -0.53,52.91; -120.83; 13.01; -1.88; 0.91,5.67; 0.37; -10.34; 1.30; -0.95,11,2,1,-,1
17:54:52,23:54:52,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,CH,73.94,-1.95,-1.29,1417,225.99,1:30,5.43,11.57,7.7,-38.14,7.94,8.22,6.1,-5.91,68.46,-9.19,0.27,0.5,-4.93,6.26,-0.9,50,5.33,1.53,-73.48,-3.02,-5.8,18.65,-24.81,652FDD65-DF56-4E3B-9930-43D068D7C8BD,-5.92,6.08,-5.91; 17.00; 6.10,-,-,1,30,-0.96; 2.43; -3.17; 0.55; -0.32,52.77; -108.36; 9.98; -1.00; 0.20,5.43; -3.71; -12.97; 1.14; -0.64,13,3,1,-,1
17:55:13,23:55:13,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,FF,82.87,-0.92,-1.39,1919,196.34,12:30,5.67,8.99,7.7,-22.09,14.7,4.31,36.05,1.67,75.78,-5.15,-0.57,0.44,-2.8,9.6,-0.68,50,5.62,1.92,-82.38,-1.66,-4.12,24.39,-18.05,36FCD63F-6119-4664-82ED-5CCA8DA71612,1.67,36.04,1.67; 17.00; 36.05,-,-,12,30,-0.75; 2.94; -2.24; 0.40; -0.24,52.79; -121.46; 12.52; 0.31; -1.53,5.67; -1.97; -9.41; 0.81; -0.46,2,4,1,-,1
17:55:32,23:55:32,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,FF,83.24,-1.26,-1.86,1919,208.51,1:00,5.67,5.72,7.6,-22.7,13.85,7.52,31.81,6.83,76.38,-5.59,-0.44,0.44,-4.68,9.14,-0.39,50,5.6,2.55,-82.72,-2.18,-6.98,23.8,-18.57,6AF8B2F5-179C-40F9-AA30-484F9724994F,6.82,31.8,6.83; 17.00; 31.81,-,-,1,0,-0.48; 3.95; -3.81; 0.74; -0.48,52.89; -121.98; 12.48; -0.67; -0.40,5.67; -2.70; -9.67; 0.80; -0.42,6,5,1,-,1
17:55:57,23:55:57,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,SL,74.15,0.33,-2.72,1846,31.14,7:00,5.28,12.82,7.2,-51.29,-4,-2.42,15.64,19.2,67.84,-9.38,-3.18,0.5,0.47,-0.99,-0.91,50,5.28,3.53,-73.54,-0.37,0.55,21.1,-33.34,73655510-6A40-413A-9A53-CF51E273D9A3,19.2,15.62,19.20; 17.00; 15.64,-,-,7,0,-1.07; 5.16; 0.29; -0.02; 0.00,53.32; -108.68; 11.77; -2.59; 1.62,5.28; 0.59; -17.41; 1.43; -0.76,14,6,1,-,1
17:56:16,23:56:16,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,FF,83.93,-0.53,-0.66,1895,210.6,1:00,5.75,6.87,7.5,-23.59,12.49,7.39,39.65,-7.17,77.1,-5.02,0.74,0.44,-4.25,8.1,-0.54,50,5.71,0.82,-83.45,-1.17,-6.46,23.82,-19.89,621C21B5-23DA-448E-8406-70A30EE325F3,-7.17,39.64,-7.17; 17.00; 39.65,-,-,1,0,-0.57; 1.39; -3.52; 0.67; -0.42,53.04; -123.10; 12.73; -1.50; 0.50,5.75; -1.17; -10.37; 0.94; -0.56,1,7,1,-,1
17:56:42,23:56:42,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,CU,70.41,1.93,-0.79,1685,34.23,7:15,5.66,9.35,7.1,-60.84,-8.55,-5.82,28.08,5.06,64.76,-9.57,-1.88,0.53,2.94,-3.9,-0.73,50,5.75,1.06,-69.88,1.44,3.1,18.16,-36.3,A7C576EC-1B85-4ABC-AA28-0B8914CB7B2A,5.06,28.05,5.06; 17.00; 28.08,-,-,7,15,-0.78; 1.43; 1.69; -0.25; 0.12,53.37; -103.20; 9.68; -0.74; -0.03,5.66; 3.44; -18.96; 1.50; -0.77,6,9,1,-,1
17:57:04,23:57:04,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,SL,73.07,2.6,-1.44,1787,92.55,9:00,5.51,9.57,7.7,-47.19,0.4,-9.02,47,14.93,66.69,-6.45,-3.15,0.5,4.59,0.77,-0.72,50,5.63,1.96,-72.54,2.66,5.22,19.79,-31.31,2B206841-0B0E-4D26-A520-0FDC44713F8C,14.94,46.98,14.93; 17.00; 47.00,-,-,9,0,-0.80; 2.70; 2.83; -0.41; 0.20,52.81; -107.03; 10.54; -0.85; -0.01,5.51; 4.83; -16.35; 1.34; -0.71,12,10,1,-,1
17:57:24,23:57:24,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,FF,82.23,-0.56,-1.03,1915,201.86,12:45,5.78,5.86,7.8,-22.69,14.48,5.81,40.7,-0.61,75.32,-4.91,0.07,0.45,-3.53,9.39,-0.44,50,5.75,1.37,-81.77,-1.13,-5.14,23.6,-18.53,88671E8E-1316-4F22-9005-C41B3C7D4049,-0.61,40.69,-0.61; 17.00; 40.70,-,-,12,45,-0.49; 2.15; -2.80; 0.52; -0.32,52.69; -120.55; 12.16; 0.14; -1.30,5.78; -1.18; -9.78; 1.27; -0.95,2,11,1,-,1
17:57:55,23:57:55,1/15/2026,1/15/2026,Nash Crosby  (#16),34542005,R,Southwest Baptist University,WU,CH,73.78,-1.42,-1.33,1453,218.48,1:15,5.45,8.61,8.1,-37.15,8.55,6.8,13.05,-1.23,68.11,-8.54,-0.03,0.49,-4.21,6.55,-0.66,50,5.38,1.6,-73.37,-2.28,-4.92,18.95,-24.51,10901E89-E536-4C19-AFAE-1F1708B40931,-1.23,13.04,-1.23; 17.00; 13.05,-,-,1,15,-0.72; 2.49; -2.68; 0.44; -0.24,52.43; -108.12; 9.80; 0.09; -0.91,5.45; -2.71; -12.78; 1.01; -0.52,13,12,1,-,1
